yearnest,year,nest id,nest number ,treatment ,nestlings ,fledglings ,died,fledged at least 1,intensity,hatch.date,10.day.date,cumulative rain,failure stage,ndvi,ndvi date,difference,ndvi.10day,ndvi.10.day.date,difference,,,
2012-11,2012,11,1,P,3,3,0,1,4,3/2/12,3/12/12,190.5,0,0.685486667,3/5/12,-3,0.685486667,3/5/12,7,,,
2012-19,2012,19,1,P,4,2,2,1,0,3/15/12,3/25/12,190.5,0,0.672233333,3/21/12,-6,0.672233333,3/21/12,4,,,
2012-2,2012,2,1,W,3,3,0,1,180,3/24/12,4/3/12,191.7,0,0.672233333,3/21/12,3,0.716309615,4/6/12,-3,,,
2012-20,2012,20,1,W,4,4,0,1,8,3/8/12,3/18/12,190.5,0,0.685486667,3/5/12,3,0.672233333,3/21/12,-3,,,
2012-24,2012,24,1,W,3,3,0,1,21,3/1/12,3/11/12,190.5,0,0.685486667,3/5/12,-4,0.685486667,3/5/12,6,,,
2012-25,2012,25,1,P,3,3,0,1,0,3/8/12,3/18/12,190.5,0,0.685486667,3/5/12,3,0.672233333,3/21/12,-3,,,
2012-28,2012,28,1,W,2,2,0,1,1,2/25/12,3/6/12,182.2,0,0.649778333,2/18/12,7,0.685486667,3/5/12,1,,,
2012-35A,2012,35A,1,W,3,0,3,0,33,2/5/12,2/15/12,22,1,0.382038462,2/2/12,3,0.649778333,2/18/12,-3,,,
2012-35B,2012,35B,1,P,4,4,0,1,0,3/7/12,3/17/12,190.5,0,0.685486667,3/5/12,2,0.672233333,3/21/12,-4,,,
2012-4,2012,4,1,P,2,2,0,1,0,2/24/12,3/5/12,182.2,0,0.649778333,2/18/12,6,0.685486667,3/5/12,0,,,
2012-40,2012,40,1,P,3,0,2,0,0,2/29/12,3/10/12,190.5,3,0.685486667,3/5/12,-5,0.685486667,3/5/12,5,,,
2012-42,2012,42,1,P,3,3,0,1,0,3/3/12,3/13/12,190.5,0,0.685486667,3/5/12,-2,0.685486667,3/5/12,8,,,
2012-51,2012,51,1,P,5,4,1,1,0,3/1/12,3/11/12,190.5,0,0.685486667,3/5/12,-4,0.685486667,3/5/12,6,,,
2012-52,2012,52,1,W,5,4,1,1,80,3/3/12,3/13/12,190.5,0,0.685486667,3/5/12,-2,0.685486667,3/5/12,8,,,
2012-53,2012,53,1,W,1,1,0,1,18,3/2/12,3/12/12,190.5,0,0.685486667,3/5/12,-3,0.685486667,3/5/12,7,,,
2012-57,2012,57,1,W,3,3,0,1,96,2/29/12,3/10/12,190.5,0,0.685486667,3/5/12,-5,0.685486667,3/5/12,5,,,
2012-59,2012,59,1,W,4,3,1,1,10,3/1/12,3/11/12,190.5,0,0.685486667,3/5/12,-4,0.685486667,3/5/12,6,,,
2012-65,2012,65,1,W,4,3,1,1,128,3/1/12,3/11/12,190.5,0,0.685486667,3/5/12,-4,0.685486667,3/5/12,6,,,
2012-66,2012,66,1,W,3,3,0,1,14,3/5/12,3/15/12,190.5,0,0.685486667,3/5/12,0,0.672233333,3/21/12,-6,,,
2012-68,2012,68,1,W,4,0,4,0,163,3/16/12,3/26/12,190.5,3,0.672233333,3/21/12,-5,0.672233333,3/21/12,5,,,
2012-7,2012,7,1,P,3,3,0,1,0,3/3/12,3/13/12,190.5,0,0.685486667,3/5/12,-2,0.685486667,3/5/12,8,,,
2012-74,2012,74,1,W,3,2,1,1,204,3/9/12,3/19/12,190.5,0,0.685486667,3/5/12,4,0.672233333,3/21/12,-2,,,
2012-75,2012,75,1,P,3,3,0,1,0,2/15/12,2/25/12,110.5,0,0.649778333,2/18/12,-3,0.649778333,2/18/12,7,,,
2012-76,2012,76,1,P,4,3,1,1,0,3/6/12,3/16/12,190.5,0,0.685486667,3/5/12,1,0.672233333,3/21/12,-5,,,
2012-77,2012,77,1,W,4,4,0,1,0,3/10/12,3/20/12,190.5,0,0.685486667,3/5/12,5,0.672233333,3/21/12,-1,,,
2012-86,2012,86,1,P,1,1,0,1,0,3/8/12,3/18/12,190.5,0,0.685486667,3/5/12,3,0.672233333,3/21/12,-3,,,
2012-87,2012,87,1,P,3,1,2,1,6,3/6/12,3/16/12,190.5,0,0.685486667,3/5/12,1,0.672233333,3/21/12,-5,,,
2012-89,2012,89,1,P,3,0,3,0,0,3/20/12,3/30/12,190.7,1,0.672233333,3/21/12,-1,0.716309615,4/6/12,-7,,,
2012-90,2012,90,1,P,4,4,0,1,0,3/1/12,3/11/12,190.5,0,0.685486667,3/5/12,-4,0.685486667,3/5/12,6,,,
2012-91,2012,91,1,P,3,3,0,1,0,3/20/12,3/30/12,190.7,0,0.672233333,3/21/12,-1,0.716309615,4/6/12,-7,,,
2012-92,2012,92,1,W,3,3,0,1,75,3/2/12,3/12/12,190.5,0,0.685486667,3/5/12,-3,0.685486667,3/5/12,7,,,
2012-93,2012,93,1,W,5,4,1,1,115,3/25/12,4/4/12,191.7,0,0.672233333,3/21/12,4,0.716309615,4/6/12,-2,,,
2013-103,2013,103,1,W,3,3,0,1,37,3/10/13,3/20/13,145,0,0.67726,3/6/13,4,0.706023333,3/22/13,-2,,,
2013-105,2013,105,1,P,3,2,1,1,0,4/3/13,4/13/13,191,0,0.745556667,4/7/13,-4,0.745556667,4/7/13,6,,,
2013-107,2013,107,1,W,4,3,2,1,32,3/3/13,3/13/13,127.6,0,0.67726,3/6/13,-3,0.67726,3/6/13,7,,,
2013-108,2013,108,1,W,4,4,0,1,13,3/23/13,4/2/13,191,0,0.706023333,3/22/13,1,0.745556667,4/7/13,-5,,,
2013-11,2013,11,1,P,4,4,0,1,0,2/28/13,3/10/13,124.1,0,0.67726,3/6/13,-6,0.67726,3/6/13,4,,,
2013-110,2013,110,1,P,3,3,0,1,0,3/6/13,3/16/13,132.6,0,0.67726,3/6/13,0,0.706023333,3/22/13,-6,,,
2013-112,2013,112,1,P,3,3,0,1,0,3/3/13,3/13/13,127.6,0,0.67726,3/6/13,-3,0.67726,3/6/13,7,,,
2013-113,2013,113,1,W,3,0,3,0,34,2/17/13,2/27/13,123.8,1,0.71212,2/18/13,-1,0.67726,3/6/13,-7,,,
2013-115,2013,115,1,P,2,2,0,1,0,2/27/13,3/9/13,124.1,0,0.67726,3/6/13,-7,0.67726,3/6/13,3,,,
