nestling,extract,sex,year,nest,treatment,repeat,round,fledged,mass
DC001,69,M,2012,75,P,1,1,1,38.8
DC002,70,F,2012,75,P,1,1,1,28.2
DC003,71,F,2012,75,P,1,1,1,34.6
DC006,72,M,2012,28,W,1,1,1,40.6
DC007,73,M,2012,28,W,1,1,1,42.5
DC008,74,M,2012,57,W,1,1,1,31.2
DC009,75,M,2012,57,W,1,1,1,32.2
DC010,76,M,2012,57,W,1,1,1,28.6
DC013,79,M,2012,90,P,1,1,1,36.7
DC014,80,F,2012,90,P,1,1,1,30.3
DC015,81,F,2012,90,P,1,1,1,34.4
DC016,82,M,2012,90,P,1,1,1,28.7
DC017,83,F,2012,92,W,1,1,1,28.8
DC018,84,F,2012,92,W,1,1,1,37
DC019,85,M,2012,92,W,1,1,1,36.7
DC020,86,F,2012,40,P,1,1,0,33.9
DC021,87,M,2012,65,W,1,1,1,28.2
DC022,88,M,2012,65,W,1,1,0,28.7
DC023,89,F,2012,65,W,1,1,1,26.8
DC024,90,F,2012,65,W,1,1,1,21.8
DC025,91,M,2012,51,P,1,1,1,35.7
DC026,92,M,2012,51,P,1,1,1,37.8
DC027,93,F,2012,51,P,1,1,1,27.6
DC028,94,F,2012,51,P,1,1,1,28.3
DC029,95,M,2012,24,W,1,1,1,39.8
DC030,96,,2012,24,W,1,1,1,36.6
DC031,97,M,2012,24,W,1,1,1,36.9
DC033,98,F,2012,59,W,1,1,1,38.5
DC034,99,F,2012,59,W,1,1,1,36.6
DC035,100,F,2012,59,W,1,1,1,33.9
DC038,101,F,2012,11,P,1,1,1,30
DC041,102,M,2012,42,P,1,1,1,35.9
DC042,103,M,2012,42,P,1,1,1,31
DC043,104,F,2012,52,W,1,1,1,30.8
DC044,105,F,2012,52,W,1,1,1,29.9
DC045,106,F,2012,52,W,1,1,1,26.3
DC046,107,M,2012,52,W,1,1,1,22.8
DC047,108,M,2012,7,P,1,1,1,34.9
DC048,109,F,2012,7,P,1,1,1,37.9
DC049,110,F,2012,7,P,1,1,1,34.2
DC050,111,M,2012,7,P,1,1,0,30
DC053,112,M,2012,25,P,1,1,1,41.2
DC054,113,F,2012,87,P,1,1,0,33
DC060,114,M,2012,76,P,1,1,1,36.3
DC063,115,M,2012,76,P,1,1,1,31.1
DC064,116,F,2012,20,W,1,1,1,31.8
DC066,117,M,2012,20,W,1,1,1,38.1
DC068,118,F,2012,91,P,1,1,1,35.1
DC069,119,F,2012,91,P,1,1,1,32.5
DC070,120,F,2012,91,P,1,1,1,28
DC074,122,F,2012,2,W,1,1,1,27
DC101,123,,2012,86,P,1,1,1,38.3
DC102,124,F,2012,35,P,1,1,1,33.6
DC103,125,F,2012,35,P,1,1,1,30.3
DC104,126,F,2012,35,P,1,1,1,29.4
DC107,127,F,2012,77,W,1,1,1,35.6
DC108,128,M,2012,77,W,1,1,1,38
DC109,129,M,2012,77,W,1,1,1,32.2
DC110,130,F,2012,74,W,1,1,1,30.3
DC115,131,F,2012,19,P,1,1,0,29.1
DC116,132,F,2012,68,W,1,1,0,30.3
DC117,133,M,2012,68,W,1,1,0,32.8
DC197,239,,2013,75,P,1,1,1,31.7
DC211,240,F,2013,74,P,1,1,1,30.1
DC214,241,M,2013,65,P,1,1,1,34.3
DC228,242,M,2013,108,W,1,1,1,30.6
DC231,243,,2013,127,W,1,1,1,31.2
M103N,168,M,2013,103,W,1,1,1,
M103R,165,M,2013,103,W,1,1,1,
M105L,176,M,2013,105,W,1,1,1,
M105R,169,,2013,105,W,1,1,1,
M107L,219,M,2013,107,W,1,1,1,
M107N,227,M,2013,107,W,1,1,1,
M107R,209,F,2013,107,W,1,1,0,
M108B,172,M,2013,108,W,1,1,1,
M108L,182,F,2013,108,W,1,1,1,
M108R,192,M,2013,108,W,1,1,1,
M110L,213,F,2013,110,W,1,1,1,
M110R,223,M,2013,110,W,1,1,1,
M110R,203,F,2013,110,W,1,1,1,
M111R,225,F,2013,111,W,1,1,0,
M112L,232,M,2013,112,W,1,1,1,
M112N,214,F,2013,112,W,1,1,1,
M112R,224,F,2013,112,W,1,1,1,
M115L,228,F,2013,115,W,1,1,1,
M115R,237,M,2013,115,W,1,1,1,
M118L,212,F,2013,118,W,1,1,1,
M118N,230,F,2013,118,W,1,1,1,
M118R,222,F,2013,118,W,1,1,1,
