"","yearnest","cumulative.rain","nestling","extract","sex","year","nest","treatment","repeat.","round","fledged","mass","male"
"1","2012-11",190.5,"DC038",101,"F","2012","11","P",1,"1",1,30,0
"2","2012-19",190.5,"DC115",131,"F","2012","19","P",1,"1",0,29.1,0
"3","2012-2",191.7,"DC074",122,"F","2012","2","W",1,"1",1,27,0
"4","2012-20",190.5,"DC066",117,"M","2012","20","W",1,"1",1,38.1,1
"5","2012-20",190.5,"DC064",116,"F","2012","20","W",1,"1",1,31.8,0
"6","2012-24",190.5,"DC031",97,"M","2012","24","W",1,"1",1,36.9,1
"7","2012-24",190.5,"DC030",96,NA,"2012","24","W",1,"1",1,36.6,NA
"8","2012-24",190.5,"DC029",95,"M","2012","24","W",1,"1",1,39.8,1
"9","2012-25",190.5,"DC053",112,"M","2012","25","P",1,"1",1,41.2,1
"10","2012-28",182.2,"DC006",72,"M","2012","28","W",1,"1",1,40.6,1
"11","2012-28",182.2,"DC007",73,"M","2012","28","W",1,"1",1,42.5,1
"12","2012-40",190.5,"DC020",86,"F","2012","40","P",1,"1",0,33.9,0
"13","2012-42",190.5,"DC042",103,"M","2012","42","P",1,"1",1,31,1
"14","2012-42",190.5,"DC041",102,"M","2012","42","P",1,"1",1,35.9,1
"15","2012-51",190.5,"DC028",94,"F","2012","51","P",1,"1",1,28.3,0
"16","2012-51",190.5,"DC026",92,"M","2012","51","P",1,"1",1,37.8,1
"17","2012-51",190.5,"DC027",93,"F","2012","51","P",1,"1",1,27.6,0
"18","2012-51",190.5,"DC025",91,"M","2012","51","P",1,"1",1,35.7,1
"19","2012-52",190.5,"DC044",105,"F","2012","52","W",1,"1",1,29.9,0
"20","2012-52",190.5,"DC043",104,"F","2012","52","W",1,"1",1,30.8,0
"21","2012-52",190.5,"DC046",107,"M","2012","52","W",1,"1",1,22.8,1
"22","2012-52",190.5,"DC045",106,"F","2012","52","W",1,"1",1,26.3,0
"23","2012-57",190.5,"DC009",75,"M","2012","57","W",1,"1",1,32.2,1
"24","2012-57",190.5,"DC010",76,"M","2012","57","W",1,"1",1,28.6,1
"25","2012-57",190.5,"DC008",74,"M","2012","57","W",1,"1",1,31.2,1
"26","2012-59",190.5,"DC035",100,"F","2012","59","W",1,"1",1,33.9,0
"27","2012-59",190.5,"DC033",98,"F","2012","59","W",1,"1",1,38.5,0
"28","2012-59",190.5,"DC034",99,"F","2012","59","W",1,"1",1,36.6,0
